LICENSEE NUMBER,NAME OF LICENSEE,STREET ADDRESS,CITY,STATE,POSTCODE,TELEPHONE NUMBER,LICENSE TYPE,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
A0002,ANN SERVICE CORP,142 WEST   21 STREET,NY,NY,10011,(212) 929-3676,Medallion Leasing Agent,MANHATTAN,40.742151,-73.99502,4,3,87,1014759,1007960063,Hudson Yards-Chelsea-Flatiron-Union Square                                 
A0003,CAB MANAGEMENT CORP,27-34 JACKSON AVENUE,LIC,NY,11101,(718) 937-8668,Medallion Leasing Agent,QUEENS   ,40.747946,-73.940039,2,26,19,4003493,4002660022,Hunters Point-Sunnyside-West Maspeth                                       
A0011,J & I MAINTENANCE CORP,341 BERGEN STREET,BROOKLYN,NY,11217,(718) 858-3502,Medallion Leasing Agent,BROOKLYN ,40.682758,-73.980271,2,33,39,3329452,3001980048,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
A0013,TEAM SYSTEMS CORP,30-17   40 AVENUE LIC,LIC,NY,11101,(718) 786-0643,Medallion Leasing Agent,QUEENS   ,40.751873,-73.934499,1,26,31,4004855,4004000005,Queensbridge-Ravenswood-Long Island City                                   
A0014,MIDTOWN OPERATING CORP,42-50   24 STREET,LIC,NY,11101,(718) 937-2080,Medallion Leasing Agent,QUEENS   ,40.749657,-73.942618,2,26,19,4005077,4004280001,Hunters Point-Sunnyside-West Maspeth                                       
A0015,55 STAN OPERATING CORP,45-16 VERNON BOULEVARD,LIC,NY,11101,(718) 786-5811,Medallion Leasing Agent,QUEENS   ,40.747995,-73.952339,2,26,1,4000026,4000250001,Hunters Point-Sunnyside-West Maspeth                                       
A0017,521 WEST 21ST ST MANAGEMENT CORP,415 WEST  127 STREET,NEW YORK,NY,10027,(212) 665-4900,Medallion Leasing Agent,MANHATTAN,40.812914,-73.95364,9,7,21303,1059572,1019670066,Manhattanville                                                             
A0102,SUSAN MAINTENANCE CORP,374    4 AVENUE,BKLYN,NY,11215,(718) 222-4040,Medallion Leasing Agent,BROOKLYN ,40.672941,-73.986579,6,39,119,3021051,3009800077,Park Slope-Gowanus                                                         
A0105,UTICA TAXI CENTER INC,465 UTICA AVENUE,BKLYN,NY,11203,(718) 774-9767,Medallion Leasing Agent,BROOKLYN ,40.662194,-73.931484,17,41,880,3327539,3045910012,Prospect Lefferts Gardens-Wingate                                          
A0110,WINNERS GARAGE INC,34-14   64 STREET,WOODSIDE,NY,11377,(718) 458-7000,Medallion Leasing Agent,QUEENS   ,40.751738,-73.898926,2,26,293,4027182,4011900013,Woodside                                                                   
A0113,CHECKER MANAGEMENT CORP,11-05   38 AVENUE,LIC,NY,11101,(718) 361-6300,Medallion Leasing Agent,QUEENS   ,40.758355,-73.941513,1,26,85,4004388,4003610001,Queensbridge-Ravenswood-Long Island City                                   
A0201,GREEN APPLE MANAGEMENT CORP,34-20   31 STREET,LIC,NY,11106,(718) 361-5555,Medallion Leasing Agent,QUEENS   ,40.759225,-73.927623,1,26,57,4000000,4006070038,Astoria                                                                    
A0202,ALL TAXI MANAGEMENT INC,41-25   36 STREET,LIC,NY,11101,(718) 361-0055,Medallion Leasing Agent,QUEENS   ,40.747091,-73.928347,2,26,179,4003129,4002170005,Hunters Point-Sunnyside-West Maspeth                                       
A0204,B. TAXI MANAGEMENT INC.,314 WEST   53 STREET,NY,NY,10019,(212) 957-0033,Medallion Leasing Agent,MANHATTAN,40.764462,-73.985448,4,3,133,1025244,1010430040,Clinton                                                                    
A0206,AJB TAXI MANAGEMENT INC,662   10 AVENUE,NY,NY,10036,(212) 956-3177,Medallion Leasing Agent,MANHATTAN,40.762522,-73.993351,4,3,127,1081667,1010560001,Clinton                                                                    
A0213,J T L MANAGEMENT INC,36-16 SKILLMAN AVENUE,LIC,NY,11101,(718) 392-7000,Medallion Leasing Agent,QUEENS   ,40.747335,-73.928051,2,26,179,4003132,4002170031,Hunters Point-Sunnyside-West Maspeth                                       
A0217,MEDALLION MAINTENANCE INC.,11-38   44 ROAD,LIC,NY,11101,(718) 472-9000,Medallion Leasing Agent,QUEENS   ,40.749221,-73.949065,2,26,19,4005236,4004470040,Hunters Point-Sunnyside-West Maspeth                                       
A0224,S & R MEDALLION CORP,625 WEST   51 STREET,NEW YORK,NY,10019,(917) 414-0172,Medallion Leasing Agent,MANHATTAN,40.766785,-73.994827,4,3,135,1027138,1010990017,Clinton                                                                    
A0225,STYLE MANAGEMENT CO,514 WEST   44 STREET,NEW YORK,NY,10036,(212) 279-3166,Medallion Leasing Agent,MANHATTAN,40.761397,-73.995668,4,3,129,1026929,1010720042,Clinton                                                                    
A0232,WAILING MANAGEMENT INC,31-08 NORTHERN BOULEVARD,LIC,NY,11101,(718) 472-1800,Medallion Leasing Agent,QUEENS   ,40.751669,-73.933507,1,26,171,4003414,4002390105,Hunters Point-Sunnyside-West Maspeth                                       
A0236,D & J MANAGEMENT OF QUEENS INC,34-14   64 STREET,WOODSIDE,NY,11377,(718) 458-6609,Medallion Leasing Agent,QUEENS   ,40.751738,-73.898926,2,26,293,4027182,4011900013,Woodside                                                                   
A0249,ON OUR WAY MANAGEMENT CORP.,6814    5 AVENUE,BKLYN,NY,11220,(718) 833-8125,Medallion Leasing Agent,BROOKLYN ,40.633997,-74.020803,10,43,130,3145284,3058640048,Bay Ridge                                                                  
A0253,QUEENS MEDALLION LEASING INC.,21-03   44 AVENUE,LIC,NY,11101,(718) 784-9292,Medallion Leasing Agent,QUEENS   ,40.749472,-73.946462,2,26,19,4005197,4004410009,Hunters Point-Sunnyside-West Maspeth                                       
A0255,KIM CAB LEASING CORP.,3864A FLATLANDS AVENUE OFF COLEMAN AVENUE,BROOKLYN,NY,11234,(718) 252-8300,Medallion Leasing Agent,BROOKLYN ,40.620049,-73.937175,18,45,648,       ,          ,Georgetown-Marine Park-Bergen Beach-Mill Basin                             
A0257,ARGON MANAGEMENT CORP.,13-20 JACKSON AVENUE,LIC,NY,11101,(718) 482-0715,Medallion Leasing Agent,QUEENS   ,40.744157,-73.949509,2,26,7,4436619,4000580001,Hunters Point-Sunnyside-West Maspeth                                       
A0259,MC GUINNESS MANAGEMENT CORP,330 MC GUINNESS BOULEVARD,BKLYN,NY,11222,(718) 389-4483,Medallion Leasing Agent,BROOKLYN ,40.733717,-73.952198,1,33,579,3064213,3025240004,Greenpoint                                                                 
A0267,2000 MANAGEMENT INC.,1817 CONEY ISLAND AVENUE,BKLYN,NY,11230,(718) 336-6565,Medallion Leasing Agent,BROOKLYN ,40.6133,-73.962992,14,48,542,3181184,3067490062,Midwood                                                                    
A0272,MALCOLM MANAGEMENT CORP,374 FOURTH AVENUE,BROOKLYN,NY,11215,(718) 222-4040,Medallion Leasing Agent,BROOKLYN ,40.672941,-73.986579,6,39,119,3021051,3009800077,Park Slope-Gowanus                                                         
A0275,AVENUE M MANAGEMENT CORP,1500 MCDONALD AVENUE,BROOKLYN,NY,11230,(718) 627-7097,Medallion Leasing Agent,BROOKLYN ,40.616061,-73.974387,12,44,446,3172621,3065630006,Borough Park                                                               
A0280,EDDIE'S MANAGEMENT CORP,40-08   24 STREET,LIC,NY,11101,(718) 707-0072,Medallion Leasing Agent,QUEENS   ,40.753643,-73.938959,1,26,33,4004943,4004080028,Queensbridge-Ravenswood-Long Island City                                   
A0281,AWESOME MANAGEMENT INC.,520 WEST   44 STREET,NEW YORK,NY,10036,(212) 967-7577,Medallion Leasing Agent,MANHATTAN,40.761438,-73.995769,4,3,129,1026931,1010720045,Clinton                                                                    
A0282,YELLOW CAB SLS JET MANAGEMENT CORP.,22-05   43 AVENUE,LIC,NY,11101,(718) 752-9097,Medallion Leasing Agent,QUEENS   ,40.750015,-73.944368,2,26,19,4005068,4004260005,Hunters Point-Sunnyside-West Maspeth                                       
A0289,BOULEVARD TAXI LEASING INC,32-56   49 STREET,LIC,NY,11103,(718) 932-3312,Medallion Leasing Agent,QUEENS   ,40.75434,-73.912837,1,26,161,4013645,4007340061,Astoria                                                                    
A0290,"UNITED TAXI MANAGEMENT GROUP, INC.",43-10   39 STREET,LIC,NY,11104,(718) 392-4600,Medallion Leasing Agent,QUEENS   ,40.745418,-73.925884,2,26,179,4003138,4002190025,Hunters Point-Sunnyside-West Maspeth                                       
A0292,CITY TRANSPORT MGMT,54-18 BROADWAY,WOODSIDE,NY,11377,(718) 507-4840,Medallion Leasing Agent,QUEENS   ,40.753127,-73.906598,2,26,255,4530791,4011930060,Woodside                                                                   
A0293,NYC TAXI NETWORK INC.,801 METROPOLITAN AVENUE,BROOKLYN,NY,11211,(718) 388-8800,Medallion Leasing Agent,BROOKLYN ,40.714667,-73.943031,1,34,497,       ,          ,East Williamsburg                                                          
A0301,NAPASEI MANAGEMENT CORP.,32-36 GREENPOINT AVE,LIC,NY,11101,(646) 641-8307,Medallion Leasing Agent,QUEENS   ,40.735463,-73.934999,2,26,199,4003694,4003100018,Hunters Point-Sunnyside-West Maspeth                                       
A0304,FA  MANAGEMENT INC.,11-06 BROADWAY,ASTORIA,NY,11106,(718) 204-9241,Medallion Leasing Agent,QUEENS   ,40.767464,-73.935762,1,26,45,4003749,4003160013,Astoria                                                                    
A0307,TAXIFLEET MANAGEMENT LLC,54-11 QUEENS BOULEVARD,WOODSIDE,NY,11377,(718) 779-5000,Medallion Leasing Agent,QUEENS   ,40.742234,-73.91063,2,26,251,4030960,4013230044,Woodside                                                                   
A0308,TAXIFLEET MANAGEMENT LLC,34-14   31 STREET,LIC,NY,11106,(718) 361-6363,Medallion Leasing Agent,QUEENS   ,40.759291,-73.927569,1,26,57,4008140,4006070034,Astoria                                                                    
A0310,CENTRAL BROOKLYN TAXI CORP.,380 FOURTH AVENUE,BROOKLYN,NY,11215,(718) 222-4040,Medallion Leasing Agent,BROOKLYN ,40.67268,-73.986791,6,39,119,3021051,3009800077,Park Slope-Gowanus                                                         
A0312,GOTHAM YELLOW LLC,75 CANAL STREET WEST,BRONX,NY,10451,(718) 993-8100,Medallion Leasing Agent,BRONX    ,40.811091,-73.930586,1,8,51,2094027,2023220028,Mott Haven-Port Morris                                                     
A0313,NORTHWESTERN MANAGEMENT CORP.,35-11   43 AVENUE 2ND FLOOR,LIC,NY,11101,(718) 482-8181,Medallion Leasing Agent,QUEENS   ,40.746175,-73.929275,2,26,179,4003134,4002180001,Hunters Point-Sunnyside-West Maspeth                                       
A0314,L.I.C. TAXI MANAGEMENT INC.,37-26   34 STREET,LIC,NY,11101,(718) 361-0063,Medallion Leasing Agent,QUEENS   ,40.753316,-73.929102,1,26,55,4004562,4003750030,Queensbridge-Ravenswood-Long Island City                                   
A0319,THE BRIDGE GROUP OF NYC INC.,35-11   43 AVENUE,LIC,NY,11101,(718) 786-6594,Medallion Leasing Agent,QUEENS   ,40.746175,-73.929275,2,26,179,4003134,4002180001,Hunters Point-Sunnyside-West Maspeth                                       
A0320,EXECUTIVE OWNERS HOLDING CORP,21-03   44 AVENUE,LIC,NY,11101,(718) 784-9292,Medallion Leasing Agent,QUEENS   ,40.749472,-73.946462,2,26,19,4005197,4004410009,Hunters Point-Sunnyside-West Maspeth                                       
A0322,NYC INTERBORO MANAGEMENT INC,36-02   21 STREET,LIC,NY,11106,(718) 392-0250,Medallion Leasing Agent,QUEENS   ,40.759694,-73.936986,1,26,43,4004274,4003490016,Queensbridge-Ravenswood-Long Island City                                   
A0324,ASTORIA TAXI LEASING CORP.,32-56   49 STREET,LIC,NY,11103,(718) 932-3312,Medallion Leasing Agent,QUEENS   ,40.75434,-73.912837,1,26,161,4013645,4007340061,Astoria                                                                    
A0325,ARTHUR CAB LEASING CORP.,25-11   41 AVENUE,LIC,NY,11101,(718) 392-3013,Medallion Leasing Agent,QUEENS   ,40.752172,-73.938974,1,26,33,4004897,4004060002,Queensbridge-Ravenswood-Long Island City                                   
A0326,GOTHAM YELLOW LLC,134-02   33 AVENUE,FLUSHING,NY,11354,(718) 993-8100,Medallion Leasing Agent,QUEENS   ,40.766476,-73.833851,7,20,869,4438084,4049460006,Flushing                                                                   
A0327,WHITE AND BLUE GROUP CORP.,35-11   43 AVENUE,LIC,NY,11101,(718) 786-6594,Medallion Leasing Agent,QUEENS   ,40.746175,-73.929275,2,26,179,4003134,4002180001,Hunters Point-Sunnyside-West Maspeth                                       
A0329,NYC TAXI GROUP INC.,876 MCDONALD AVENUE,BROOKLYN,NY,11218,(718) 253-3501,Medallion Leasing Agent,BROOKLYN ,40.632467,-73.977497,12,44,478,3127462,3054070017,Borough Park                                                               
A0330,GN TAXI FLEET CORP.,1500 MCDONALD AVENUE,BROOKLYN,NY,11230,(718) 627-7097,Medallion Leasing Agent,BROOKLYN ,40.616061,-73.974387,12,44,446,3172621,3065630006,Borough Park                                                               
A0331,F & L LEASING CORP.,374 FOURTH AVENUE,BROOKLYN,NY,11215,(718) 222-4040,Medallion Leasing Agent,BROOKLYN ,40.672941,-73.986579,6,39,119,3021051,3009800077,Park Slope-Gowanus                                                         
A0332,MANHATTAN CHECKER MANAGEMENT CORP.,528 WEST   39 STREET,NEW YORK,NY,10018,(212) 868-0795,Medallion Leasing Agent,MANHATTAN,40.758268,-73.998177,4,3,117,1012524,1007100011,Hudson Yards-Chelsea-Flatiron-Union Square                                 
A0333,P & I LEASING CORP.,558 WEST   44 STREET,NEW YORK,NY,10036,(212) 695-1112,Medallion Leasing Agent,MANHATTAN,40.761704,-73.996401,4,3,129,1026933,1010720059,Clinton                                                                    
A0334,YELLOW DOG LEASING CORP,31-08 NORTHERN BOULEVARD,LONGISLANDCITY,NY,11101,(718) 472-1800,Medallion Leasing Agent,QUEENS   ,40.751669,-73.933507,1,26,171,4003414,4002390105,Hunters Point-Sunnyside-West Maspeth                                       
A0335,SUFI MEDALLION INC,13-11   44 AVENUE,LONGISLANDCITY,NY,11101,(718) 392-2230,Medallion Leasing Agent,QUEENS   ,40.749668,-73.94748,2,26,19,4005203,4004420036,Hunters Point-Sunnyside-West Maspeth                                       
A0336,TAXI WORLD INC.,627 WEST   51 STREET,NEW YORK,NY,10019,(212) 265-4022,Medallion Leasing Agent,MANHATTAN,40.766796,-73.994856,4,3,135,1027138,1010990017,Clinton                                                                    
A0337,TEST AGENT FOR TIF 1,33 BEAVER STREET,NEW YORK,NY,10004,(212) 676-1020,Medallion Leasing Agent,MANHATTAN,40.704967,-74.011711,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan                                          
A0339,YELLOW EXPRESSWAY MANAGEMENT CORP,36-06 STEINWAY STREET,LIC,NY,11101,(718) 361-1647,Medallion Leasing Agent,QUEENS   ,40.753371,-73.923583,1,26,157,4010855,4006650027,Astoria                                                                    
A0340,ALL TAXI NY LLC,36-01   43 AVENUE,LIC,NY,11101,(718) 361-0033,Medallion Leasing Agent,QUEENS   ,40.746075,-73.928413,2,26,179,4003129,4002170005,Hunters Point-Sunnyside-West Maspeth                                       
A0341,UNITED QM ENTERPRISES LLC,43-39   21 STREET,L.I.C,NY,11101,(718) 784-9292,Medallion Leasing Agent,QUEENS   ,40.750024,-73.946191,2,26,19,4005197,4004410009,Hunters Point-Sunnyside-West Maspeth                                       
A0342,"WESTWAY TAXI MANAGEMENT, LLC",657   10 AVENUE,NEW YORK,NY,10036,(212) 977-4590,Medallion Leasing Agent,MANHATTAN,40.762355,-73.993499,4,3,129,1026967,1010750031,Clinton                                                                    
A0344,RMT MANAGEMENT INC,42-05   12 STREET,LIC,NY,11101,(718) 784-4700,Medallion Leasing Agent,QUEENS   ,40.752574,-73.94616,2,26,19,4005280,4004580101,Hunters Point-Sunnyside-West Maspeth                                       
